word,frequency_rank,band
the,1,high
to,2,high
and,3,high
of,4,high
a,5,high
in,6,high
i,7,high
is,8,high
for,9,high
that,10,high
you,11,high
it,12,high
on,13,high
with,14,high
this,15,high
was,16,high
be,17,high
as,18,high
are,19,high
have,20,high
at,21,high
he,22,high
not,23,high
by,24,high
but,25,high
from,26,high
my,27,high
or,28,high
we,29,high
an,30,high
your,31,high
all,32,high
so,33,high
his,34,high
they,35,high
me,36,high
if,37,high
one,38,high
can,39,high
will,40,high
just,41,high
like,42,high
about,43,high
up,44,high
out,45,high
what,46,high
has,47,high
when,48,high
more,49,high
do,50,high
no,51,high
were,52,high
who,53,high
had,54,high
their,56,high
there,57,high
her,58,high
which,59,high
time,60,high
get,61,high
been,62,high
would,63,high
she,64,high
new,65,high
people,66,high
how,67,high
some,69,high
also,70,high
them,71,high
now,72,high
other,73,high
its,75,high
our,76,high
than,77,high
good,78,high
only,79,high
after,80,high
first,81,high
him,82,high
into,83,high
know,84,high
see,85,high
two,86,high
make,87,high
over,88,high
think,89,high
any,90,high
then,91,high
could,92,high
back,93,high
these,94,high
us,95,high
want,96,high
because,97,high
go,98,high
well,99,high
said,100,high
way,101,high
most,104,high
much,105,high
very,106,high
where,107,high
even,108,high
should,109,high
may,110,high
here,111,high
need,112,high
really,113,high
did,114,high
right,115,high
work,116,high
year,117,high
years,118,high
being,119,high
day,120,high
too,121,high
going,122,high
before,123,high
off,124,high
why,125,high
made,126,high
still,127,high
take,128,high
got,130,high
many,131,high
never,132,high
those,133,high
life,134,high
say,135,high
world,136,high
down,137,high
great,138,high
through,139,high
last,141,high
s,142,high
while,144,high
best,145,high
such,146,high
love,147,high
man,148,high
home,149,high
long,150,high
look,151,high
something,152,high
use,153,high
same,155,high
used,156,high
both,157,high
every,158,high
am,160,high
come,161,high
part,162,high
state,163,high
three,164,high
around,165,high
between,166,high
always,167,high
better,168,high
find,169,high
help,171,high
high,172,high
little,173,high
old,174,high
since,175,high
another,176,high
does,177,high
own,178,high
things,179,high
under,180,high
during,181,high
game,182,high
thing,184,high
give,185,high
house,186,high
place,187,high
school,188,high
again,189,high
next,190,high
each,191,high
mr,192,high
without,193,high
against,194,high
end,196,high
found,197,high
must,198,high
show,199,high
big,200,high
feel,201,high
sure,202,high
team,203,high
ever,204,high
family,205,high
keep,206,high
might,207,high
please,208,high
put,209,high
money,210,high
free,211,high
second,212,high
someone,213,high
away,214,high
left,215,high
number,216,high
city,217,high
days,218,high
lot,219,high
name,220,high
night,221,high
play,222,high
until,223,high
company,224,high
doing,225,high
few,226,high
let,228,high
real,229,high
called,231,high
different,232,high
having,233,high
set,234,high
thought,235,high
done,236,high
however,237,high
getting,238,high
god,239,high
government,240,high
group,241,high
looking,242,high
public,243,high
top,244,high
women,245,high
business,246,high
care,247,high
start,248,high
system,249,high
times,250,high
week,251,high
already,253,high
anything,254,high
case,255,high
nothing,256,high
person,257,high
today,258,high
change,259,high
enough,260,high
everything,261,high
full,262,high
live,263,high
making,264,high
point,265,high
read,266,high
told,268,high
yet,269,high
bad,270,high
four,272,high
hard,273,high
mean,274,high
once,275,high
support,276,high
tell,277,high
including,278,high
music,279,high
power,280,high
seen,281,high
states,282,high
stop,283,high
water,284,high
based,285,high
believe,286,high
call,287,high
head,288,high
men,289,high
national,290,high
small,291,high
took,292,high
white,293,high
came,294,high
far,295,high
job,296,high
side,297,high
though,298,high
try,299,high
went,300,high
yes,301,high
actually,302,high
american,303,high
later,304,high
less,305,high
line,306,high
order,307,high
party,308,high
run,309,high
says,310,high
service,311,high
country,313,high
open,314,high
season,315,high
shit,316,high
thank,317,high
children,318,high
everyone,319,high
general,320,high
trying,322,high
united,323,high
using,324,high
area,325,high
black,326,high
d,327,high
following,328,high
law,329,high
makes,330,high
together,331,high
war,332,high
whole,333,high
car,334,high
face,335,high
five,336,high
kind,337,high
maybe,338,high
per,339,high
president,340,high
story,341,high
working,342,high
course,343,high
games,344,high
health,345,high
hope,346,high
important,347,high
least,348,high
means,349,high
news,350,high
within,351,high
able,352,high
book,353,high
early,354,high
friends,355,high
information,357,high
local,358,high
oh,359,high
post,360,high
t,361,high
thanks,362,high
video,363,high
young,364,high
ago,365,high
others,366,high
social,367,high
talk,368,high
court,370,high
fact,371,high
given,372,high
guys,373,high
half,374,high
hand,375,high
level,377,high
mind,378,high
often,379,high
single,380,high
become,381,high
body,382,high
coming,383,high
control,384,high
death,385,high
food,386,high
guy,387,high
hours,388,high
office,389,high
pay,390,high
problem,391,high
south,392,high
true,393,high
almost,395,high
fuck,396,high
history,397,high
known,398,high
large,399,high
lost,400,high
m,401,high
research,402,high
room,403,high
several,404,high
started,405,high
taking,406,high
university,407,high
win,408,high
wrong,409,high
along,410,high
anyone,411,high
else,412,high
girl,413,high
john,414,high
matter,415,high
pretty,416,high
remember,417,high
air,418,high
bit,419,high
friend,420,high
hit,421,high
